uri,day,headline_count,has_hero
www.nytimes.com,2016-10-17,9,1
www.nytimes.com,2016-10-18,9,1
www.nytimes.com,2016-10-19,10,1
www.nytimes.com,2016-10-20,4,1
www.nytimes.com,2016-10-21,4,0
www.nytimes.com,2016-10-22,10,0
www.nytimes.com,2016-10-23,10,1
www.nytimes.com,2016-10-24,3,0
www.nytimes.com,2016-10-25,10,1
www.nytimes.com,2016-10-26,4,1
www.nytimes.com,2016-10-27,10,1
www.nytimes.com,2016-10-28,10,0
www.nytimes.com,2016-10-29,4,1
www.nytimes.com,2016-10-30,8,1
www.nytimes.com,2016-10-31,10,1
www.usatoday.com,2016-10-01,10,1
www.usatoday.com,2016-10-02,10,1
www.usatoday.com,2016-10-03,10,1
www.usatoday.com,2016-10-04,10,1
www.usatoday.com,2016-10-05,10,1
www.usatoday.com,2016-10-06,10,1
www.usatoday.com,2016-10-07,10,1
www.usatoday.com,2016-10-08,10,1
www.usatoday.com,2016-10-09,10,1
www.usatoday.com,2016-10-10,10,1
www.usatoday.com,2016-10-11,10,1
www.usatoday.com,2016-10-12,10,1
www.usatoday.com,2016-10-13,10,1
www.usatoday.com,2016-10-14,10,1
www.usatoday.com,2016-10-15,10,1
www.usatoday.com,2016-10-16,10,1
www.usatoday.com,2016-10-17,10,1
www.usatoday.com,2016-10-18,10,1
www.usatoday.com,2016-10-19,10,1
www.usatoday.com,2016-10-20,10,1
www.usatoday.com,2016-10-21,10,1
www.usatoday.com,2016-10-22,10,1
www.usatoday.com,2016-10-23,10,1
www.usatoday.com,2016-10-24,10,1
www.usatoday.com,2016-10-25,10,1
www.usatoday.com,2016-10-26,10,1
www.usatoday.com,2016-10-27,10,1
www.usatoday.com,2016-10-28,10,1
www.usatoday.com,2016-10-29,10,1
www.usatoday.com,2016-10-30,10,1
www.usatoday.com,2016-10-31,10,1
www.washingtonpost.com,2016-10-01,6,0
www.washingtonpost.com,2016-10-02,5,0
www.washingtonpost.com,2016-10-03,5,0
www.washingtonpost.com,2016-10-04,5,0
www.washingtonpost.com,2016-10-05,3,0
www.washingtonpost.com,2016-10-06,5,0
www.washingtonpost.com,2016-10-07,4,0
www.washingtonpost.com,2016-10-08,8,0
www.washingtonpost.com,2016-10-09,10,0
www.washingtonpost.com,2016-10-10,6,1
www.washingtonpost.com,2016-10-11,8,1
www.washingtonpost.com,2016-10-12,5,0
www.washingtonpost.com,2016-10-13,5,0
www.washingtonpost.com,2016-10-14,6,0
www.washingtonpost.com,2016-10-15,7,0
www.washingtonpost.com,2016-10-16,7,0
www.washingtonpost.com,2016-10-17,5,0
www.washingtonpost.com,2016-10-18,5,0
www.washingtonpost.com,2016-10-19,5,0
www.washingtonpost.com,2016-10-20,5,1
www.washingtonpost.com,2016-10-21,5,0
www.washingtonpost.com,2016-10-22,5,0
www.washingtonpost.com,2016-10-23,5,0
www.washingtonpost.com,2016-10-24,7,0
www.washingtonpost.com,2016-10-25,5,0
www.washingtonpost.com,2016-10-26,5,0
www.washingtonpost.com,2016-10-27,5,0
www.washingtonpost.com,2016-10-28,5,0
www.washingtonpost.com,2016-10-29,4,0
www.washingtonpost.com,2016-10-30,6,0
www.washingtonpost.com,2016-10-31,5,0
www.wsj.com,2016-10-01,10,1
